Data Series,Total,Department Stores,Supermarkets & Hypermarkets,Mini-Marts & Convenience Stores,Food & Alcohol,Motor Vehicles,Petrol Service Stations,"Cosmetics, Toiletries & Medical Goods",Wearing Apparel & Footwear,Furniture & Household Equipment,Recreational Goods,Watches & Jewellery,Computer & Telecommunications Equipment,Optical Goods & Books,Others,Total (Excluding Motor Vehicles)
2022 Feb ,81.026,54.088,112.521,82.408,54.922,51.615,106.062,83.161,82.193,90.179,85.604,108.054,83.875,60.79,67.103,87.512
2022 Jan ,108.439,90.624,160.132,108.702,93.836,68.374,126.33,94.926,122.022,126.339,104.945,124.067,106.345,80.892,85.862,117.275
2021 Dec ,111.972,99.859,131.738,99.426,83.177,65.245,120.471,101.689,130.647,137.41,150.653,140.636,157.608,119.429,89.448,122.278
2021 Nov ,96.187,73.454,123.921,92.184,65.073,62.318,110.903,84.769,94.621,129.763,108.833,104.508,147.104,89.811,78.162,103.657
2021 Oct ,92.379,58.909,132.897,97.102,60.934,66.227,110.62,76.698,75.692,110.198,94.159,98.227,158.481,62.679,75.199,98.146
2021 Sep ,88.286,56.231,120.989,92.784,61.174,73.594,108.546,78.645,71.395,103.149,91.479,86.325,132.829,62.664,76.176,91.526
2021 Aug ,86.54,58.748,131.919,98.344,63.178,64.589,109.976,72.914,71.198,102.278,98.451,91.945,91.208,68.3,73.231,91.381
2021 Jul ,86.866,54.174,131.425,100.456,59.317,67.204,111.127,74.367,72.613,101.553,95.477,85.522,94.969,68.202,78.084,91.203
2021 Jun ,84.206,46.57,128.288,96.452,57.145,74.162,97.068,70.357,63.121,107.065,92.04,74.817,98.251,62.564,73.1,86.421
2021 May ,85.402,48.54,138.877,102.094,60.1,68.706,100.451,71.742,61.871,105.117,86.575,80.566,98.327,63.756,70.511,89.084
2021 Apr ,85.465,54.828,114.804,95.492,58.154,74.033,109.439,69.488,77.219,95.429,96.898,91.545,89.494,70.952,78.071,87.986
2021 Mar ,90.937,56.362,114.958,99.89,56.31,86.908,113.449,74.101,76.341,101.496,105.618,96.477,107.987,78.471,81.024,91.825
2021 Feb ,83.849,57.56,126.079,95.938,65.8,60.104,97.516,68.746,83.932,85.694,87.994,99.765,80.113,66.394,73.158,89.086
2021 Jan ,96.791,70.324,134.939,106.534,80.738,77.721,100.657,79.824,94.868,121.204,100.411,94.379,100.46,85.773,85.06,100.997
2020 Dec ,104.89,88.867,130.357,103.592,72.946,70.282,97.659,87.687,110.078,133.542,149.957,110.881,147.38,124.533,91.757,112.523
2020 Nov ,93.979,78.657,116.468,97.937,59.732,71.019,91.565,77.134,82.985,120.528,113.211,90.625,156.816,98.969,82.638,99.043
2020 Oct ,85.774,60.101,120.485,102.877,56.061,76.175,95.143,69.892,72.075,101.647,99.2,76.38,90.811,75.556,81.26,87.892
2020 Sep ,82.603,56.208,115.783,98.858,59.154,75.104,88.775,72.743,66.694,97.76,95.958,76.435,80.403,69.843,78.128,84.257
2020 Aug ,88.727,63.904,126.098,104.473,61.846,78.246,88.89,75.76,72.476,106.281,104.716,85.272,88.068,76.993,82.283,91.039
2020 Jul ,86.582,58.527,126.57,104.638,54.401,74.521,83.247,73.604,71.614,103.879,100.774,77.396,90.946,75.436,85.251,89.242
2020 Jun ,66.466,28.207,134.714,104.663,49.272,41.064,67.505,70.048,38.746,74.887,60.104,41.883,86.226,53.455,57.723,72.068
2020 May ,47.203,7.85,156.74,111.804,40.701,13.183,47.031,52.528,11.336,38.144,27.743,3.677,58.761,16.403,29.366,54.706
2020 Apr ,55.347,14.859,164.799,114.641,42.685,20.493,53.655,52.691,14.223,57.014,35.243,12.255,74.845,35.404,38.354,63.034
2020 Mar ,85.549,57.002,133.25,106.732,59.806,75.153,95.749,84.95,57.803,98.994,82.762,60.192,89.278,75.782,87.077,87.842
2020 Feb ,79.466,59.143,111.006,94.981,65.777,66.095,96.726,84.831,63.239,76.374,75.494,73.549,69.253,75.119,88.962,82.415
2020 Jan ,103.507,110.827,127.533,110.757,146.856,70.495,108.585,117.472,135.521,93.958,93.002,102.613,80.212,90.432,94.037,110.787
2019 Dec ,108.37,124.847,103.914,98.778,107.752,68.053,102.811,130.733,142.739,110.261,134.896,123.301,116.611,136.15,104.532,117.262
2019 Nov ,95.303,102.824,94.319,97.799,94.674,67.514,105.068,105.13,107.56,94.618,100.815,97.887,121.607,103.654,100.523,101.432
2019 Oct ,93.733,92.813,98.295,101.915,99.284,70.849,108.603,99.81,97.931,89.963,90.306,100.609,110.988,86.125,101.394,98.78
2019 Sep ,92.363,93.329,96.591,98.218,95.865,74.921,107.082,104.24,92.538,86.854,89.335,90.853,109.066,84.545,100.635,96.21
2019 Aug ,94.077,100.69,103.472,103.75,106.377,69.817,108.416,108.579,103.087,87.577,101.077,96.62,78.125,93.834,101.28,99.428
2019 Jul ,94.811,87.7,98.484,99.729,96.679,85.438,109.752,104.314,100.693,94.78,97.027,97.041,71.589,93.874,102.37,96.879
2019 Jun ,91.828,92.874,93.903,95.473,88.045,78.65,101.584,104.099,105.476,95.222,96.275,90.655,70.85,85.169,98.707,94.734
2019 May ,97.618,95.139,100.454,101.502,94.865,91.964,112.51,102.276,96.577,100.086,95.28,106.24,72.766,88.007,104.275,98.865
2019 Apr ,92.18,84.302,93.946,99.441,92.138,89.037,107.92,96.573,93.61,90.078,93.611,94.041,76.789,89.31,95.884,92.874
2019 Mar ,99.053,92.567,97.572,101.319,97.182,104.613,109.586,108.25,97.097,96.963,102.339,94.94,86.562,93.26,99.784,97.826
2019 Feb ,86.763,90.603,95.961,94.664,105.551,65.216,94.982,95.204,105.293,71.322,83.734,99.026,70.086,78,88.945,91.515
2019 Jan ,111.063,115.504,116.626,109.35,137.362,106.098,107.857,116.23,128.976,115.481,94.59,101.359,86.276,103.145,108.365,112.158
2018 Dec ,112.315,132.501,102.139,95.073,108.566,89.657,97.571,124.881,139.615,120.482,132.097,112.896,124.298,137.885,111.735,117.312
2018 Nov ,99.702,112.963,92.177,95.193,96.367,86.983,104.679,105.208,103.653,106.116,101.875,96.314,118.576,104.603,105.722,102.508
2018 Oct ,98.009,93.862,96.449,100.443,99.46,91.774,115.773,100.305,93.536,100.13,92.769,93.681,111.196,92.503,107.106,99.384
2018 Sep ,94.394,94.597,95.24,97.897,97.636,85.387,110.722,100.577,88.229,95.743,96.332,95.03,95.606,85.57,104.067,96.381
2018 Aug ,98.257,97.063,101.377,104.906,106.317,87.57,112.15,104.537,98.277,97.548,103.182,105.828,78.368,95.46,105.348,100.614
2018 Jul ,96.223,91.185,97.259,101.042,95.869,84.167,112.869,102.604,100.802,103.453,100.986,103.163,76.831,93.787,102.077,98.882
2018 Jun ,100.608,92.744,94.545,97.997,87.349,116.327,104.743,102.008,100.492,112.716,99.417,95.086,76.247,85.559,101.186,97.141
2018 May ,99.244,98.929,99.684,100.599,95.573,99.402,110.972,103.661,95.686,107.122,94.827,101.179,77.043,92.608,101.993,99.209
2018 Apr ,93.638,86.891,94.738,99.343,95.38,90.044,108.098,98.205,87.829,95.67,94.697,95.993,81.871,93.425,100.467,94.431
2018 Mar ,99.482,98.58,96.225,99.98,100.829,103.675,109.989,105.258,92.46,101.23,103.217,98.861,90.144,98.907,99.385,98.557
2018 Feb ,95.956,103.356,110.104,96.866,134.52,68.651,102.355,106.27,120.967,84.54,87.644,108.625,73.004,83.876,91.919,101.979
2018 Jan ,103.125,107.878,105.967,105.107,126.146,88.384,107.393,105.278,113.62,115.644,92.434,96.865,98.741,105.113,103.152,106.376
2017 Dec ,119.406,134.349,102.842,96.987,111.356,113.022,97.982,122.082,140.198,125.99,140.3,119.74,152.853,142.115,108.907,120.814
2017 Nov ,101.737,103.896,93.512,95.365,99.721,102.471,101.544,98.406,99.9,103.512,101.867,94.414,136.28,109.605,102.047,101.575
2017 Oct ,97.663,97.765,99.315,100.543,98.695,93.611,103.887,97.012,95.064,97.485,94.98,99.569,96.47,94.091,102.757,98.556
2017 Sep ,92.78,93.763,96.185,98.831,96.534,83.184,99.418,97.34,86.071,93.719,93.869,88.88,102.487,88.108,102.518,94.896
2017 Aug ,98.698,93.908,102.425,103.442,111.993,100.436,101.574,101.839,93.316,98.361,98.239,98.885,81.402,98.033,100.53,98.315
2017 Jul ,98.731,95.957,100.711,100.136,102.676,99.255,102.548,98.75,99.071,101.379,98.526,100.377,84.479,98.425,97.455,98.615
2017 Jun ,98.936,94.883,95.911,97.562,88.249,106.017,95.846,96.467,99.672,112.343,91.844,100.964,86.654,87.816,96.762,97.375
2017 May ,99.115,96.692,100.789,101.764,97.287,108.49,101.972,97.458,90.2,96.825,96.181,100.022,83.455,94.464,100.566,97.047
2017 Apr ,92.598,88.753,97.513,99.541,90,90.765,99.591,90.086,89.842,89.517,95.712,95.218,87.819,94.584,91.365,93.002
2017 Mar ,100.505,90.74,96.222,100.897,93.084,121.515,103.329,98.338,87.632,96.519,100.942,93.526,98.386,98.594,99.698,95.871
2017 Feb ,88.4,82.86,88.309,91.034,83.006,83.209,92.484,91.698,84.666,78.567,89.89,100.195,89.06,92.166,97.981,89.545
2017 Jan ,111.432,126.435,126.266,113.897,127.399,98.026,99.826,110.522,134.367,105.783,97.65,108.212,100.655,101.998,99.415,114.388
2016 Dec ,112.294,139.958,98.369,102.62,112.535,89.719,93.993,117.55,135.587,122.482,131.611,125.787,127.289,131.635,111.412,117.769
2016 Nov ,96.63,99.822,89.771,97.683,94.981,95.35,93.258,93.558,98.183,98.676,92.837,92.841,119.333,102.338,100.533,96.94
2016 Oct ,97.463,97.216,96.46,103.733,100.767,97.351,96.76,93.549,91.191,95.274,94.378,95.659,121.87,92.406,99.244,97.49
2016 Sep ,93.272,87.726,89.958,101.69,97.761,98.249,91.076,93.788,81.181,96.058,91.881,84.627,110.837,89.088,100.362,92.064
2016 Aug ,95.848,92.696,98.346,106.485,105.213,97.744,92.771,94.769,89.03,92.654,93.18,96.818,83.688,99.907,99.733,95.388
2016 Jul ,97.744,95.26,97.888,104.39,97.124,98.977,94.246,92.794,95.852,107.83,98.092,94.844,82.548,104.057,100.502,97.445
2016 Jun ,97.52,93.613,90.535,97.837,94.096,112.351,86.677,92.824,93.744,110.979,88.483,87.007,86.659,94.109,99.997,93.923
